"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"CA-SF2","ENF",-105.8775,54.2539,"ENF",34.1805555555556,0,0.173611111111111,0.333333333333333,7.54861111111111,0,0,42.1319444444444,0.0277777777777778,0.618055555555556,2.1875,0,0,0,0,0.138888888888889,12.6597222222222
"CA-SF3","OSH",-106.0053,54.0916,"ENF",43.4027777777778,0,0.125,0.361111111111111,8.22916666666667,0,0,31.5347222222222,0.194444444444444,0.270833333333333,2.75,0,0,0,0,0.0138888888888889,13.1180555555556
"CH-Cha","GRA",8.4104,47.2102,"SAV",0.395833333333333,0,0,0.3125,13.5416666666667,0,0,6.9375,30.7222222222222,18.8263888888889,1.08333333333333,3.01388888888889,13.9166666666667,6.625,0,0.0902777777777778,4.53472222222222
"CH-Dav","ENF",9.8559,46.8153,"WSA",2.92361111111111,0,0,0.0416666666666667,8.78472222222222,0,0,15.3055555555556,6.34722222222222,57.3680555555556,0.201388888888889,0,0.506944444444444,0,0.104166666666667,8.41666666666667,0
"CH-Fru","GRA",8.5378,47.1158,"GRA",0.395833333333333,0,0,0.3125,13.5416666666667,0,0,6.9375,30.7222222222222,18.8263888888889,1.08333333333333,3.01388888888889,13.9166666666667,6.625,0,0.0902777777777778,4.53472222222222
"CH-Lae","MF",8.365,47.4781,"DBF",0.395833333333333,0,0,0.3125,13.5416666666667,0,0,6.9375,30.7222222222222,18.8263888888889,1.08333333333333,3.01388888888889,13.9166666666667,6.625,0,0.0902777777777778,4.53472222222222
"CH-Oe1","GRA",7.7319,47.2858,"CRO",0.118055555555556,0,0,1.83333333333333,20.2986111111111,0,0,10.0763888888889,32.4236111111111,11.7430555555556,0,9.66666666666667,4.75694444444444,9.08333333333333,0,0,0
"CH-Oe2","CRO",7.7343,47.2863,"CRO",0.118055555555556,0,0,1.83333333333333,20.2986111111111,0,0,10.0763888888889,32.4236111111111,11.7430555555556,0,9.66666666666667,4.75694444444444,9.08333333333333,0,0,0
"CN-Cha","MF",128.0958,42.4025,"DBF",0,0,0.00694444444444444,50.4722222222222,42.8263888888889,0,0,3.86111111111111,0.0208333333333333,0.729166666666667,0,0.840277777777778,0.861111111111111,0.381944444444444,0,0,0
"CN-Cng","GRA",123.5092,44.5934,"GRA",0,0,0,0,0,0,0,0,0,42.8402777777778,0.0555555555555556,54.5902777777778,0.458333333333333,0,0,1.27083333333333,0.784722222222222
